Seq,B
2003001,11
2003002,12
2003003,16
2003004,3
2003005,16
2003006,6
2003007,7
2003008,8
2003009,9
2003010,13
2003011,15
2003012,12
2003013,12
2003014,2
2003015,13
2003016,6
2003017,6
2003018,2
2003019,9
2003020,4
2003021,1
2003022,8
2003023,2
2003024,14
2003025,12
2003026,16
2003027,15
2003028,7
2003029,10
2003030,7
2003031,1
2003032,13
2003033,10
2003034,14
2003035,8
2003036,15
2003037,7
2003038,16
2003039,3
2003040,16
2003041,11
2003042,7
2003043,13
2003044,15
2003045,3
2003046,11
2003047,16
2003048,9
2003049,15
2003050,13
2003051,1
2003052,11
2003053,13
2003054,12
2003055,16
2003056,7
2003057,16
2003058,2
2003059,4
2003060,11
2003061,2
2003062,14
2003063,11
2003064,1
2003065,11
2003066,14
2003067,10
2003068,11
2003069,11
2003070,8
2003071,11
2003072,11
2003073,13
2003074,1
2003075,11
2003076,2
2003077,6
2003078,11
2003079,4
2003080,10
2003081,7
2003082,14
2003083,1
2003084,3
2003085,14
2003086,13
2003087,13
2003088,12
2003089,16
2004001,11
2004002,10
2004003,14
2004004,11
2004005,1
2004006,11
2004007,14
2004008,2
2004009,11
2004010,4
2004011,2
2004012,16
2004013,7
2004014,16
2004015,12
2004016,13
2004017,11
2004018,1
2004019,13
2004020,15
2004021,9
2004022,16
2004023,11
2004024,3
2004025,15
2004026,13
2004027,7
2004028,11
2004029,16
2004030,3
2004031,16
2004032,7
2004033,15
2004034,8
2004035,14
2004036,10
2004037,13
2004038,1
2004039,7
2004040,10
2004041,7
2004042,15
2004043,16
2004044,12
2004045,14
2004046,2
2004047,8
2004048,1
2004049,4
2004050,9
2004051,2
2004052,6
2004053,6
2004054,13
2004055,2
2004056,12
2004057,12
2004058,15
2004059,13
2004060,9
2004061,8
2004062,7
2004063,6
2004064,16
2004065,3
2004066,16
2004067,12
2004068,11
2004069,5
2004070,6
2004071,6
2004072,14
2004073,16
2004074,13
2004075,7
2004076,7
2004077,7
2004078,5
2004079,3
2004080,16
2004081,6
2004082,15
2004083,6
2004084,14
2004085,1
2004086,1
2004087,14
2004088,14
2004089,14
2004090,12
2004091,1
2004092,2
2004093,5
2004094,8
2004095,1
2004096,15
2004097,14
2004098,3
2004099,2
2004100,15
2004101,15
2004102,1
2004103,2
2004104,5
2004105,12
2004106,12
2004107,7
2004108,12
2004109,14
2004110,11
2004111,2
2004112,6
2004113,7
2004114,1
2004115,1
2004116,3
2004117,7
2004118,15
2004119,6
2004120,10
2004121,10
2004122,15
2005001,14
2005002,14
2005003,16
2005004,2
2005005,15
2005006,16
2005007,15
2005008,11
2005009,14
2005010,1
2005011,15
2005012,5
2005013,6
2005014,5
2005015,15
2005016,15
2005017,3
2005018,6
2005019,8
2005020,5
2005021,16
2005022,4
2005023,12
2005024,13
2005025,7
2005026,7
2005027,15
2005028,10
2005029,14
2005030,5
2005031,7
2005032,3
2005033,7
2005034,9
2005035,14
2005036,15
2005037,16
2005038,16
2005039,9
2005040,13
2005041,3
2005042,15
2005043,5
2005044,9
2005045,10
2005046,5
2005047,15
2005048,2
2005049,12
2005050,13
2005051,2
2005052,1
2005053,9
2005054,14
2005055,9
2005056,9
2005057,13
2005058,10
2005059,7
2005060,13
2005061,1
2005062,7
2005063,4
2005064,8
2005065,16
2005066,5
